src_ip,dst_ip,src_port,dst_port,protocol,packet_size,timestamp
10.52.21.225,13.107.137.11,2462,443,TCP,1454,1773567964.080707
10.52.21.225,13.107.137.11,2462,443,TCP,1454,1773567964.080707
10.52.21.225,13.107.137.11,2462,443,TCP,1454,1773567964.080707
13.107.137.11,10.52.21.225,443,2462,TCP,54,1773567964.081293
13.107.137.11,10.52.21.225,443,2462,TCP,54,1773567964.081293
13.107.137.11,10.52.21.225,443,2462,TCP,54,1773567964.081293
13.107.137.11,10.52.21.225,443,2462,TCP,54,1773567964.081293
13.107.137.11,10.52.21.225,443,2462,TCP,54,1773567964.081293
10.52.21.225,13.107.137.11,2462,443,TCP,1454,1773567964.081420
10.52.21.225,13.107.137.11,2462,443,TCP,1454,1773567964.081420
10.52.21.225,13.107.137.11,2462,443,TCP,1454,1773567964.081420
10.52.21.225,13.107.137.11,2462,443,TCP,1454,1773567964.081420
10.52.21.225,13.107.137.11,2462,443,TCP,1454,1773567964.081420
10.52.21.225,13.107.137.11,2462,443,TCP,1454,1773567964.081420
10.52.21.225,13.107.137.11,2462,443,TCP,1454,1773567964.081420
13.107.137.11,10.52.21.225,443,2462,TCP,54,1773567964.081655
13.107.137.11,10.52.21.225,443,2462,TCP,54,1773567964.081655
13.107.137.11,10.52.21.225,443,2462,TCP,54,1773567964.081655
13.107.137.11,10.52.21.225,443,2462,TCP,54,1773567964.081655
13.107.137.11,10.52.21.225,443,2462,TCP,54,1773567964.081655
10.52.21.225,13.107.137.11,2462,443,TCP,1454,1773567964.081717
10.52.21.225,13.107.137.11,2462,443,TCP,1454,1773567964.081717
10.52.21.225,13.107.137.11,2462,443,TCP,1454,1773567964.081717
10.52.21.225,13.107.137.11,2462,443,TCP,1454,1773567964.081717
10.52.21.225,13.107.137.11,2462,443,TCP,1454,1773567964.081717
10.52.21.225,13.107.137.11,2462,443,TCP,1454,1773567964.081717
10.52.21.225,13.107.137.11,2462,443,TCP,1454,1773567964.081717
10.52.21.225,13.107.137.11,2462,443,TCP,1454,1773567964.081717
10.52.21.225,13.107.137.11,2462,443,TCP,1454,1773567964.081717
13.107.137.11,10.52.21.225,443,2462,TCP,54,1773567964.082146
10.52.21.225,13.107.137.11,2462,443,TCP,1454,1773567964.082193
13.107.137.11,10.52.21.225,443,2462,TCP,54,1773567964.082336
10.52.21.225,13.107.137.11,2462,443,TCP,1454,1773567964.082403
13.107.137.11,10.52.21.225,443,2462,TCP,54,1773567964.082472
10.52.21.225,13.107.137.11,2462,443,TCP,1454,1773567964.082510
10.52.21.225,13.107.137.11,2462,443,TCP,1454,1773567964.082510
13.107.137.11,10.52.21.225,443,2462,TCP,54,1773567964.082610
13.107.137.11,10.52.21.225,443,2462,TCP,54,1773567964.082610
10.52.21.225,13.107.137.11,2462,443,TCP,1454,1773567964.082679
10.52.21.225,13.107.137.11,2462,443,TCP,1454,1773567964.082679
13.107.137.11,10.52.21.225,443,2462,TCP,54,1773567964.082751
10.52.21.225,13.107.137.11,2462,443,TCP,1454,1773567964.082786
13.107.137.11,10.52.21.225,443,2462,TCP,54,1773567964.086527
10.52.21.225,13.107.137.11,2462,443,TCP,1454,1773567964.086648
10.52.21.225,13.107.137.11,2462,443,TCP,1454,1773567964.086648
13.107.137.11,10.52.21.225,443,2462,TCP,54,1773567964.086836
13.107.137.11,10.52.21.225,443,2462,TCP,54,1773567964.086836
10.52.21.225,13.107.137.11,2462,443,TCP,1454,1773567964.086915
10.52.21.225,13.107.137.11,2462,443,TCP,1454,1773567964.086915
10.52.21.225,13.107.137.11,2462,443,TCP,1454,1773567964.086915
10.52.21.225,13.107.137.11,2462,443,TCP,1454,1773567964.086915
13.107.137.11,10.52.21.225,443,2462,TCP,54,1773567964.087035
13.107.137.11,10.52.21.225,443,2462,TCP,54,1773567964.087035
13.107.137.11,10.52.21.225,443,2462,TCP,54,1773567964.087035
10.52.21.225,13.107.137.11,2462,443,TCP,1454,1773567964.087070
10.52.21.225,13.107.137.11,2462,443,TCP,1454,1773567964.087070
10.52.21.225,13.107.137.11,2462,443,TCP,1454,1773567964.087070
10.52.21.225,13.107.137.11,2462,443,TCP,1454,1773567964.087070
13.107.137.11,10.52.21.225,443,2464,TCP,54,1773567964.088262
10.52.21.225,13.107.137.11,2464,443,TCP,1454,1773567964.088359
13.107.137.11,10.52.21.225,443,2462,TCP,54,1773567964.088499
13.107.137.11,10.52.21.225,443,2462,TCP,54,1773567964.088499
13.107.137.11,10.52.21.225,443,2462,TCP,54,1773567964.088499
10.52.21.225,13.107.137.11,2462,443,TCP,1454,1773567964.088565
10.52.21.225,13.107.137.11,2462,443,TCP,1454,1773567964.088565
10.52.21.225,13.107.137.11,2462,443,TCP,1454,1773567964.088565
13.107.137.11,10.52.21.225,443,2462,TCP,54,1773567964.088705
13.107.137.11,10.52.21.225,443,2462,TCP,54,1773567964.088705
10.52.21.225,13.107.137.11,2462,443,TCP,1454,1773567964.088749
10.52.21.225,13.107.137.11,2462,443,TCP,1454,1773567964.088749
10.52.21.225,13.107.137.11,2462,443,TCP,1454,1773567964.088749
13.107.137.11,10.52.21.225,443,2462,TCP,54,1773567964.090672
10.52.21.225,13.107.137.11,2462,443,TCP,1454,1773567964.090749
13.107.137.11,10.52.21.225,443,2462,TCP,54,1773567964.090862
13.107.137.11,10.52.21.225,443,2462,TCP,54,1773567964.090862
10.52.21.225,13.107.137.11,2462,443,TCP,1454,1773567964.090907
10.52.21.225,13.107.137.11,2462,443,TCP,1454,1773567964.090907
10.52.21.225,13.107.137.11,2462,443,TCP,1454,1773567964.090907
13.107.137.11,10.52.21.225,443,2462,TCP,54,1773567964.091035
13.107.137.11,10.52.21.225,443,2462,TCP,54,1773567964.091035
10.52.21.225,13.107.137.11,2462,443,TCP,1454,1773567964.091091
10.52.21.225,13.107.137.11,2462,443,TCP,1454,1773567964.091091
10.52.21.225,13.107.137.11,2462,443,TCP,1454,1773567964.091091
13.107.137.11,10.52.21.225,443,2464,TCP,54,1773567964.091175
10.52.21.225,13.107.137.11,2464,443,TCP,1454,1773567964.091209
13.107.137.11,10.52.21.225,443,2462,TCP,54,1773567964.093379
13.107.137.11,10.52.21.225,443,2461,TCP,66,1773567964.093379
10.52.21.225,13.107.137.11,2462,443,TCP,1454,1773567964.093499
10.52.21.225,13.107.137.11,2462,443,TCP,1454,1773567964.093499
13.107.137.11,10.52.21.225,443,2462,TCP,54,1773567964.093658
10.52.21.225,13.107.137.11,2462,443,TCP,1454,1773567964.093706
13.107.137.11,10.52.21.225,443,2463,TCP,54,1773567964.093778
13.107.137.11,10.52.21.225,443,2463,TCP,54,1773567964.093778
13.107.137.11,10.52.21.225,443,2463,TCP,54,1773567964.095075
